"","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"ARO:3003692",3.35279891304348,9.35426680503969,33.1144891304348,1.41649232914923,1.31761314447865,0.968588345945022,1.15428970006975,3.61087995363485,0,0.666550938290069
"ARO:3003693",3.2632470064049,6.94188943060301,25.0330728093748,1.02062010477758,3.33269496027268,1.33951519745867,1.95911946246584,3.69227233204752,0.66534931951899,0
"ARO:3003698",2.61412206790379,3.75515965323323,13.7285549798503,1.129413006916,1.58600360861049,1.04444055454418,0,1.85688171750552,0,0.997442797659691
"ARO:3003699",3.92175758012474,8.00804999419123,26.0261625640093,1.54174919320212,2.93388624330468,0.956256866074104,1.77420922285965,5.16957182296596,0.906464907721872,0.999993318545046
"ARO:3003700",3.25671679988301,4.05345462249411,14.790110257267,1.08442395399564,1.24443601948973,0.996333492746692,1.74509731460951,2.52032520325203,0,0
"ARO:3003702",3.52204592837871,8.51534898826586,31.6146480153103,1.38185905569751,2.31189511608091,0.998949762525921,1.25580190037432,3.53757632245932,1.00341159943809,1.00526405162167
"ARO:3003704",2.81763650856915,3.62432616318627,9.15892860608178,0.999909099172802,1.28933685952792,0.998210565674911,1.24959749421855,2.72577693051346,0,0
"ARO:3003705",3.6054613352836,8.554077276258,32.6061174100048,1.13186277475118,2.17545185951996,0.999295496674844,1.67951499116722,3.29387106290978,0.997803492981892,1.40768712798856
"ARO:3003709",2.46557011430164,5.0881335725148,19.5071521953278,0.999860019597257,1.91371581962265,1.49646049553063,1.60539686606037,3.92833198474165,0,0.999257694284246
"ARO:3003710",5.81610641627543,11.0634178403756,39.1931533646322,1.03541957686962,3.29047052266652,1.26046131863646,1.01523889034905,3.52671927954914,0,1.00013394680972
"ARO:3003729",0,1.00863390623739,1.00863390623739,0,0,0,0,0,0,0
"ARO:3003730",1.7968530066003,2.4737662945788,8.04299162849177,2.54123230438486,5.2850342068904,1.10246578618891,1.56651157300387,2.03532390693943,1.00280786201364,1.34315173394596
"ARO:3003733",0,0,0,0,0,0,0,0.558640303358613,0,0.998051802880777
"ARO:3003735",0,1.00427910226181,1.99109248100603,0,0.993739441518434,0,0,0,0,0
"ARO:3003737",0,1.00168740630189,1.00168740630189,0,0,0,0,0,0,0
"ARO:3003741",0,0,0,0,1.00215227333871,0,0,0,0,0
"ARO:3003751",26.4094937759336,77.5565975103734,272.329394190871,24.7137316735823,61.0631078838174,74.0921867219917,190.898229598894,674.882567081604,92.8819917012448,243.248643153527
"ARO:3003760",0,0,0,0.776517861401249,1.22406639004149,2.76625713174274,6.19240694832942,18.6929891504549,2.77802902679948,7.38289782753851
"ARO:3003761",0.998003992015968,1.59092023289943,2.81457932619609,1.46867142611909,1.98741877565286,1.41780249025758,1.68857686925001,3.47393623744148,2.59549322407816,5.04729379776868
