	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003791_AE016830.1	0.0	0.0	124.0	145.1	149.5	146.483	146.549	146.584	146.862	147.892
3003077_AE016830.1	149.5	0.0	149.5	149.25	149.667	145.944	142.689	142.302	135.421	138.056
3004254_AE016830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000172_AE016877.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004466_AERH01000018.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002846_AF001493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002702_AF015087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002842_AF015628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001308_AF015628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002637_AF016483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002660_AF024602	147.03	146.699	146.813	146.8	146.316	147.357	147.151	147.053	147.233	146.595
3002703_AF024666	150.0	0.0	148.375	145.889	144.929	147.875	144.429	144.855	143.0	144.387
3002867_AF028812	141.221	142.686	143.27	145.043	142.14	141.143	144.267	143.73	130.125	143.974
3000181_AF030344.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002245_AF030945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002561_AF031326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002562_AF031327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002564_AF031328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002565_AF031329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002566_AF031330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002567_AF031331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002568_AF031332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002698_AF034958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000177_AF038993	102.0	102.0	132.4	0.0	0.0	122.667	140.75	133.095	140.4	142.971
3001411_AF043100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002580_AF043381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001414_AF043381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000929_AF047171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002603_AF047479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002560_AF047556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001299_AF055922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001412_AF060206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000928_AF062386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001417_AF064820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000182_AF070999	149.571	144.833	146.106	119.0	146.5	0.0	0.0	0.0	0.0	0.0
3001075_AF072684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000230_AF078527	0.0	0.0	135.0	0.0	148.0	0.0	0.0	0.0	0.0	147.5
3002847_AF078527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001265_AF079138.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000598_AF079138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004118_AF079766	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002892_AF079900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000850_AF090141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000561_AF090987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000934_AF091113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000882_AF093512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
