	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3000785_AB894099	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003199_AB894482.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001994_AB900900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002353_AB901141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003210_AB908992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
3002008_AB916359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003207_AB917040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002362_AB926431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003116_AB983359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003931_ACLQ01000019.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003072_ACMJ01000036.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004588_ACWO01000051.1	12.0	23.0	102.0	7.0	22.0	11.0	25.0	95.0	18.0	54.0
3003964_AE000511.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003458_AE000516.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003445_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003465_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003395_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003777_AE000783.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004561_AE001437.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000810_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003961_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003962_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003937_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000811_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004289_AE003852.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004364_AE003852.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000149_AE004091.2	10.0	10.0	43.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
3003895_AE004091.2	14.0	44.0	150.0	5.0	8.0	2.0	9.0	22.0	2.0	1.0
3003896_AE004091.2	29.0	68.0	260.0	5.0	12.0	2.0	12.0	31.0	0.0	0.0
3003679_AE004091.2	34.0	71.0	335.0	7.0	19.0	4.0	10.0	40.0	0.0	0.0
3003680_AE004091.2	24.0	57.0	251.0	7.0	16.0	2.0	12.0	33.0	0.0	1.0
3003681_AE004091.2	79.0	178.0	677.0	14.0	42.0	6.0	33.0	100.0	2.0	4.0
3003709_AE004091.2	9.0	19.0	82.0	1.0	6.0	3.0	4.0	16.0	0.0	1.0
3000814_AE004091.2	15.0	23.0	99.0	1.0	6.0	0.0	3.0	9.0	0.0	0.0
3000803_AE004091.2	24.0	67.0	235.0	4.0	16.0	2.0	3.0	20.0	2.0	1.0
3000804_AE004091.2	69.0	150.0	604.0	15.0	28.0	9.0	14.0	74.0	3.0	5.0
3000805_AE004091.2	16.0	49.0	192.0	5.0	10.0	2.0	9.0	25.0	0.0	1.0
3002985_AE004091.2	53.0	112.0	404.0	9.0	33.0	9.0	14.0	44.0	1.0	0.0
3000819_AE004091.2	18.0	46.0	212.0	3.0	15.0	3.0	5.0	22.0	0.0	0.0
3003710_AE004091.2	26.0	49.0	175.0	4.0	15.0	5.0	4.0	15.0	0.0	3.0
3000818_AE004091.2	11.0	29.0	105.0	4.0	3.0	2.0	3.0	13.0	0.0	1.0
3000806_AE004091.2	21.0	45.0	155.0	2.0	9.0	1.0	5.0	16.0	1.0	1.0
3000807_AE004091.2	22.0	68.0	237.0	5.0	11.0	1.0	12.0	26.0	1.0	3.0
3000809_AE004091.2	30.0	79.0	281.0	7.0	17.0	6.0	6.0	37.0	0.0	3.0
3000379_AE004091.2	27.0	81.0	276.0	4.0	13.0	10.0	11.0	38.0	4.0	5.0
3003030_AE004091.2	38.0	62.0	280.0	8.0	21.0	0.0	6.0	17.0	0.0	0.0
3003582_AE004091.2	19.0	40.0	161.0	3.0	10.0	1.0	1.0	9.0	0.0	1.0
3003682_AE004091.2	25.0	40.0	165.0	1.0	6.0	3.0	9.0	31.0	0.0	3.0
3004038_AE004091.2	14.0	24.0	105.0	1.0	6.0	0.0	0.0	3.0	0.0	0.0
3004077_AE004091.2	15.0	42.0	151.0	1.0	9.0	3.0	7.0	27.0	0.0	1.0
3004107_AE004091.2	14.0	18.0	85.0	1.0	4.0	0.0	2.0	10.0	1.0	2.0
3004072_AE004091.2	22.0	58.0	209.0	6.0	10.0	4.0	6.0	29.0	0.0	1.0
3004075_AE004091.2	52.0	172.0	555.0	10.0	27.0	10.0	18.0	65.0	0.0	4.0
3004074_AE004091.2	43.0	166.0	551.0	9.0	31.0	10.0	13.0	68.0	2.0	3.0
3004073_AE004091.2	23.0	54.0	203.0	8.0	10.0	3.0	6.0	25.0	0.0	1.0
3003684_AE004091.2	55.0	116.0	437.0	11.0	26.0	4.0	12.0	46.0	1.0	3.0
3003693_AE004091.2	48.0	134.0	501.0	10.0	48.0	7.0	29.0	69.0	2.0	0.0
3003692_AE004091.2	26.0	71.0	252.0	5.0	9.0	5.0	8.0	27.0	0.0	2.0
